date,open,high,low,adjClose,value,volume,count,yesterday,close
2016-08-14,5300.0,5300.0,5300.0,5300.0,37100000000,7000000,17653,1000.0,5300.0
2016-08-15,5565.0,5565.0,5565.0,5565.0,37897650,6810,34,5300.0,5565.0
2016-08-16,5843.0,5843.0,5843.0,5843.0,77156815,13205,66,5565.0,5843.0
2016-08-17,6135.0,6135.0,6135.0,6135.0,113270505,18463,101,5843.0,6135.0
2016-08-20,6441.0,6441.0,6441.0,6441.0,112273071,17431,95,6135.0,6441.0
2016-08-21,6763.0,6763.0,6763.0,6763.0,201956706,29862,142,6441.0,6763.0
2016-08-22,7101.0,7101.0,7101.0,7101.0,155696526,21926,120,6763.0,7101.0
2016-08-23,7456.0,7456.0,7456.0,7456.0,584214880,78355,147,7101.0,7456.0
2016-08-24,7828.0,7828.0,7828.0,7828.0,463769860,59245,201,7456.0,7828.0
2016-08-27,8219.0,8219.0,8219.0,8219.0,4677457557,569103,334,7828.0,8219.0
2016-08-28,8629.0,8629.0,8629.0,8629.0,1411169402,163538,479,8219.0,8629.0
2016-08-29,9060.0,9060.0,9060.0,9060.0,5684253060,627401,565,8629.0,9060.0
2016-08-30,9513.0,9513.0,9513.0,9513.0,4360026699,458323,1353,9060.0,9513.0
2016-08-31,9988.0,9988.0,9705.0,9962.0,76067586177,7635660,15201,9513.0,9850.0
2016-09-03,9464.0,9550.0,9464.0,9465.0,4526144398,478210,638,9962.0,9464.0
2016-09-04,8992.0,8992.0,8992.0,8992.0,2315709760,257530,125,9465.0,8992.0
2016-09-05,8543.0,8543.0,8543.0,8543.0,111486150,13050,23,8992.0,8543.0
2016-09-06,8470.0,8970.0,8460.0,8741.0,26849023317,3071620,6270,8543.0,8970.0
2016-09-07,8990.0,9170.0,8760.0,8979.0,8277968674,921974,1329,8741.0,8890.0
2016-09-10,8700.0,8750.0,8531.0,8555.0,11676009681,1364767,1060,8979.0,8550.0
2016-09-11,8661.0,8700.0,8462.0,8570.0,3166094153,369441,433,8555.0,8500.0
