tic,date,open,high,low,close,volume,value,count,yesterday,code,name_en,name,date_jalali,last
خساپا-ت,20010506,52.53,57,51,53.30,55879,181379751.00,77,53,SIPA,S*Saipa-a,سايپا-ت,13800216,53.30
خساپا-ت,20010507,53.30,53,53,53.30,99962,325663118.00,80,53,SIPA,S*Saipa-a,سايپا-ت,13800217,53.30
خساپا-ت,20010508,53.46,55,53,53.64,241949,797914981.00,87,53,SIPA,S*Saipa-a,سايپا-ت,13800218,53.64
خساپا-ت,20010509,54.77,56,54,53.64,415588,1392841852.00,185,54,SIPA,S*Saipa-a,سايپا-ت,13800219,53.64
خساپا-ت,20010512,54.61,56,54,56.23,23538,79685410.00,26,54,SIPA,S*Saipa-a,سايپا-ت,13800222,56.23
خساپا-ت,20010513,56.52,57,56,56.41,127297,441025763.00,112,56,SIPA,S*Saipa-a,سايپا-ت,13800223,56.41
خساپا-ت,20010515,57.06,57,56,56.41,102172,355398008.00,89,56,SIPA,S*Saipa-a,سايپا-ت,13800225,56.41
خساپا-ت,20010516,56.41,57,56,56.39,62860,217613221.00,48,56,SIPA,S*Saipa-a,سايپا-ت,13800226,56.39
خساپا-ت,20010519,56.42,56,56,56.24,26226,90483021.00,24,56,SIPA,S*Saipa-a,سايپا-ت,13800229,56.24
خساپا-ت,20010520,56.24,56,55,54.77,26034,89218325.00,28,56,SIPA,S*Saipa-a,سايپا-ت,13800230,54.77
خساپا-ت,20010521,55.26,56,55,55.26,34546,117339780.00,25,55,SIPA,S*Saipa-a,سايپا-ت,13800231,55.26
خساپا-ت,20010523,55.57,56,55,55.56,16305,55159260.00,28,55,SIPA,S*Saipa-a,سايپا-ت,13800302,55.56
خساپا-ت,20010526,55.56,57,56,56.98,16990,58733327.00,18,56,SIPA,S*Saipa-a,سايپا-ت,13800305,56.98
خساپا-ت,20010527,56.63,57,55,55.59,27728,94707263.00,32,57,SIPA,S*Saipa-a,سايپا-ت,13800306,55.59
خساپا-ت,20010528,55.56,56,55,55.38,35706,121141724.00,39,56,SIPA,S*Saipa-a,سايپا-ت,13800307,55.38
خساپا-ت,20010529,55.42,55,55,55.36,5596,18934395.00,12,55,SIPA,S*Saipa-a,سايپا-ت,13800308,55.36
خساپا-ت,20010530,55.31,56,55,55.54,33550,113594525.00,35,55,SIPA,S*Saipa-a,سايپا-ت,13800309,55.54
خساپا-ت,20010602,55.52,56,56,55.51,15079,51202040.00,17,56,SIPA,S*Saipa-a,سايپا-ت,13800312,55.51
خساپا-ت,20010603,54.92,56,54,55.51,45834,154024550.00,35,56,SIPA,S*Saipa-a,سايپا-ت,13800313,55.51
خساپا-ت,20010606,55.47,55,55,54.77,9593,32235913.00,14,56,SIPA,S*Saipa-a,سايپا-ت,13800316,54.77
خساپا-ت,20010609,54.77,55,54,54.71,4332,14439487.00,8,55,SIPA,S*Saipa-a,سايپا-ت,13800319,54.71
خساپا-ت,20010611,54.69,55,55,55.10,27198,91127132.00,29,55,SIPA,S*Saipa-a,سايپا-ت,13800321,55.10
خساپا-ت,20010612,54.77,55,55,55.10,16469,55268630.00,27,55,SIPA,S*Saipa-a,سايپا-ت,13800322,55.10
خساپا-ت,20010613,54.77,55,54,54.79,18069,60502419.00,13,55,SIPA,S*Saipa-a,سايپا-ت,13800323,54.79
خساپا-ت,20010616,54.74,55,54,54.74,8865,29636159.00,19,55,SIPA,S*Saipa-a,سايپا-ت,13800326,54.74
خساپا-ت,20010617,53.95,54,54,54.44,75439,247791246.00,22,55,SIPA,S*Saipa-a,سايپا-ت,13800327,54.44
خساپا-ت,20010618,54.44,54,54,53.92,10467,34758552.00,11,54,SIPA,S*Saipa-a,سايپا-ت,13800328,53.92
خساپا-ت,20010619,53.79,54,53,54.39,39421,129168395.00,31,54,SIPA,S*Saipa-a,سايپا-ت,13800329,54.39
خساپا-ت,20010620,53.92,54,52,53.95,38538,124607629.00,24,54,SIPA,S*Saipa-a,سايپا-ت,13800330,53.95
خساپا-ت,20010623,53.95,54,54,53.95,16285,53747179.00,22,54,SIPA,S*Saipa-a,سايپا-ت,13800402,53.95
خساپا-ت,20010624,53.95,54,54,53.95,8556,28234800.00,10,54,SIPA,S*Saipa-a,سايپا-ت,13800403,53.95
خساپا-ت,20010625,53.92,54,54,53.95,14654,48366538.00,24,54,SIPA,S*Saipa-a,سايپا-ت,13800404,53.95
خساپا-ت,20010626,53.97,55,54,53.97,9456,31240492.00,19,54,SIPA,S*Saipa-a,سايپا-ت,13800405,53.97
خساپا-ت,20010627,53.97,55,54,53.97,16015,52918885.00,16,54,SIPA,S*Saipa-a,سايپا-ت,13800406,53.97
خساپا-ت,20010630,53.97,54,54,53.97,2059,6796759.00,1,54,SIPA,S*Saipa-a,سايپا-ت,13800409,53.97
خساپا-ت,20010701,53.92,55,54,54.77,73895,246753785.00,34,54,SIPA,S*Saipa-a,سايپا-ت,13800410,54.77
خساپا-ت,20010702,54.75,55,55,54.75,9462,31687718.00,6,55,SIPA,S*Saipa-a,سايپا-ت,13800411,54.75
خساپا-ت,20010703,54.74,55,55,54.77,30498,102162058.00,18,55,SIPA,S*Saipa-a,سايپا-ت,13800412,54.77
خساپا-ت,20010704,54.71,55,54,53.95,15980,53068080.00,9,55,SIPA,S*Saipa-a,سايپا-ت,13800413,53.95
خساپا-ت,20010707,53.99,54,54,53.95,17431,57537390.00,14,54,SIPA,S*Saipa-a,سايپا-ت,13800416,53.95
خساپا-ت,20010708,53.95,55,54,54.28,7520,24965879.00,15,54,SIPA,S*Saipa-a,سايپا-ت,13800417,54.28
خساپا-ت,20010709,54.28,54,54,54.12,6316,20931320.00,10,54,SIPA,S*Saipa-a,سايپا-ت,13800418,54.12
خساپا-ت,20010710,54.12,54,54,54.20,10203,33752845.00,11,54,SIPA,S*Saipa-a,سايپا-ت,13800419,54.20
خساپا-ت,20010711,54.20,54,54,54.10,29481,97460165.00,29,54,SIPA,S*Saipa-a,سايپا-ت,13800420,54.10
خساپا-ت,20010714,53.95,54,54,54.10,9570,31687605.00,21,54,SIPA,S*Saipa-a,سايپا-ت,13800423,54.10
خساپا-ت,20010715,54.07,54,54,54.44,218087,718147696.00,36,54,SIPA,S*Saipa-a,سايپا-ت,13800424,54.44
خساپا-ت,20010903,51.66,52,52,51.50,30703,96919480.00,23,54,SIPA,S*Saipa-a,سايپا-ت,13800612,51.50
خساپا-ت,20010904,51.16,51,49,49.67,176977,540773941.00,63,52,SIPA,S*Saipa-a,سايپا-ت,13800613,49.67
خساپا-ت,20010905,49.05,50,47,49.67,263539,786013051.00,71,50,SIPA,S*Saipa-a,سايپا-ت,13800614,49.67
خساپا-ت,20010908,49.65,50,49,49.05,45891,137620924.00,28,50,SIPA,S*Saipa-a,سايپا-ت,13800617,49.05
خساپا-ت,20010909,49.02,49,48,49.05,49955,148677304.00,33,49,SIPA,S*Saipa-a,سايپا-ت,13800618,49.05
خساپا-ت,20010910,49.05,49,48,48.95,111676,331348214.00,323,49,SIPA,S*Saipa-a,سايپا-ت,13800619,48.95
خساپا-ت,20010911,48.39,49,47,48.95,1093029,3177304878.00,48,49,SIPA,S*Saipa-a,سايپا-ت,13800620,48.95
خساپا-ت,20010912,48.67,49,48,48.48,3411,10114525.00,6,49,SIPA,S*Saipa-a,سايپا-ت,13800621,48.48
خساپا-ت,20010915,48.36,48,47,48.23,18994,55450058.00,20,48,SIPA,S*Saipa-a,سايپا-ت,13800624,48.23
خساپا-ت,20010916,48.23,48,48,48.13,1334,3931556.00,6,48,SIPA,S*Saipa-a,سايپا-ت,13800625,48.13
خساپا-ت,20010917,47.25,48,46,47.74,48391,138767086.00,32,48,SIPA,S*Saipa-a,سايپا-ت,13800626,47.74
خساپا-ت,20010918,47.22,47,47,47.22,6490,18753696.00,5,48,SIPA,S*Saipa-a,سايپا-ت,13800627,47.22
خساپا-ت,20010919,47.07,47,47,46.60,46700,133105949.00,33,47,SIPA,S*Saipa-a,سايپا-ت,13800628,46.60
خساپا-ت,20010922,46.60,47,47,46.60,13183,37628828.00,16,47,SIPA,S*Saipa-a,سايپا-ت,13800631,46.60
خساپا-ت,20010923,45.76,47,45,46.40,14741,41276590.00,21,47,SIPA,S*Saipa-a,سايپا-ت,13800701,46.40
خساپا-ت,20010924,46.22,46,45,45.78,52918,146161561.00,33,46,SIPA,S*Saipa-a,سايپا-ت,13800702,45.78
خساپا-ت,20010925,45.60,46,44,45.60,7833,21388164.00,6,46,SIPA,S*Saipa-a,سايپا-ت,13800703,45.60
خساپا-ت,20010926,44.34,46,44,45.61,48772,132970090.00,22,46,SIPA,S*Saipa-a,سايپا-ت,13800704,45.61
خساپا-ت,20010929,44.94,45,45,44.96,3620,9954850.00,5,46,SIPA,S*Saipa-a,سايپا-ت,13800707,44.96
خساپا-ت,20010930,44.80,45,43,44.80,93953,256780530.00,42,45,SIPA,S*Saipa-a,سايپا-ت,13800708,44.80
